timestamp,added_by,author,title,type,where
2025-10-21 15:16:19.652655,Oleg Lavrovsky,Falk et al.,How Do Hackathons Foster Creativity? Towards AI Collaborative Evaluation of Creativity at Scale,Other,http://arxiv.org/abs/2503.04290
2025-10-21 15:16:19.652658,Oleg Lavrovsky,Razzak et al.,Knowledge Management in Distributed Agile Software Development Projects,Other,http://link.springer.com/10.1007/978-3-319-28868-0_7
2025-10-21 15:16:19.652662,Oleg Lavrovsky,Samochowiec,Future Skills – Four scenarios for the world of tomorrow,Other,https://gdi.ch/en/publications/studies/future-skills-pdf-2020-e?page=2#attr=
2025-10-21 15:16:19.652665,Oleg Lavrovsky,Zimmermann et al.,Reflections from the 2024 Large Language Model (LLM) Hackathon for Applications in Materials Science and Chemistry,Other,http://arxiv.org/abs/2411.15221
2025-10-21 15:16:19.652667,Oleg Lavrovsky,Ryś,Discovering Sources and Approaches in Financing Hackathons,Journal,https://sciendo.com/article/10.2478/fiqf-2024-0026
2025-10-21 15:16:19.652670,Oleg Lavrovsky,Emmanouil et al.,Maximising Hackathon Impact: A Comprehensive Framework for Sustaining Post-Event Outcome,Journal,https://papers.academic-conferences.org/index.php/ecie/article/view/2798
2025-10-21 15:16:19.652673,Oleg Lavrovsky,Adinda et al.,Educational hackathon: preparing students for collaborative competency,Journal,https://www.tandfonline.com/doi/full/10.1080/03055698.2024.2369868
2025-10-21 15:16:19.652675,Oleg Lavrovsky,Fanelli et al.,AI4EIC Hackathon: PID with the ePIC dRICH,Journal,https://www.epj-conferences.org/articles/epjconf/abs/2024/05/epjconf_chep2024_08004/epjconf_chep2024_08004.html
2025-10-21 15:16:19.652678,Oleg Lavrovsky,LIVE IT Project,Summative evaluation of LIVE IT 'hackathons',Other,https://zenodo.org/record/7230010
2025-10-21 15:16:19.652681,Oleg Lavrovsky,Irani,Hackathons and the Making of Entrepreneurial Citizenship,Journal,https://doi.org/10.1177/0162243915578486
2025-10-21 15:16:19.652685,Oleg Lavrovsky,Li,Hackathon Projects dataset on HuggingFace,Other,https://huggingface.co/datasets/alvanlii/devpost-hackathon-projects
2025-10-21 15:16:19.652688,Oleg Lavrovsky,Maillart et al.,"Computational Diplomacy: How ""hackathons for good"" feed a participatory future for multilateralism in the digital age",Journal,http://arxiv.org/abs/2410.03286
